unit: MeV 
spectrum:
5.400539053905391018e-01 1.000000000000000048e-04
5.410540054005400501e-01 1.000000000000000048e-04
5.420541054105411094e-01 1.000000000000000048e-04
5.430542054205420577e-01 1.000000000000000048e-04
5.440543054305430060e-01 1.000000000000000048e-04
5.450544054405440653e-01 1.000000000000000048e-04
5.460545054505450135e-01 1.000000000000000048e-04
5.470546054605460728e-01 1.000000000000000048e-04
5.480547054705470211e-01 1.000000000000000048e-04
5.490548054805480804e-01 1.000000000000000048e-04
5.500549054905490287e-01 1.000000000000000048e-04
5.510550055005500880e-01 1.000000000000000048e-04
5.520551055105510363e-01 1.000000000000000048e-04
5.530552055205520956e-01 1.000000000000000048e-04
5.540553055305530439e-01 1.000000000000000048e-04
5.550554055405541032e-01 1.000000000000000048e-04
5.560555055505550515e-01 1.000000000000000048e-04
5.570556055605561108e-01 1.000000000000000048e-04
5.580557055705570590e-01 1.000000000000000048e-04
5.590558055805580073e-01 1.000000000000000048e-04
5.600559055905590666e-01 1.000000000000000048e-04
5.610560056005600149e-01 1.000000000000000048e-04
5.620561056105610742e-01 1.000000000000000048e-04
5.630562056205620225e-01 1.000000000000000048e-04
5.640563056305630818e-01 1.000000000000000048e-04
5.650564056405640301e-01 1.000000000000000048e-04
5.660565056505650894e-01 1.000000000000000048e-04
5.670566056605660377e-01 1.000000000000000048e-04
5.680567056705670970e-01 1.000000000000000048e-04
5.690568056805680452e-01 1.000000000000000048e-04
5.700569056905691046e-01 1.000000000000000048e-04
5.710570057005700528e-01 1.000000000000000048e-04
5.720571057105711121e-01 1.000000000000000048e-04
5.730572057205720604e-01 1.000000000000000048e-04
5.740573057305730087e-01 1.000000000000000048e-04
5.750574057405740680e-01 1.000000000000000048e-04
5.760575057505750163e-01 1.000000000000000048e-04
5.770576057605760756e-01 1.000000000000000048e-04
5.780577057705770239e-01 1.000000000000000048e-04
